date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-02-28,23:16:41.915610,5250,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:16:54.663392,5500,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:17:06.470141,5000,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:17:17.281394,5250,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:17:28.211013,5500,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:17:39.690187,5000,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:17:50.322527,5250,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:18:01.198973,5500,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:18:12.925185,5000,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:18:24.349141,5250,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-02-28,23:18:35.232544,5500,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:46:55.424062,5250,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:47:06.338497,5500,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:47:15.756280,5000,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:47:26.454588,5250,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:47:35.703297,5500,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:47:45.284364,5000,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:47:55.220390,5250,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:48:04.541040,5500,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:48:15.257273,5000,2800,3480000,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.85245901639344
2018-03-01,06:48:23.029890,5250,2800,3437632.32075696,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,1000,800,2.81773141045653
